time,power,temp,humidity,light,CO2,dust
"2015-08-01 01:30:48",0,31,41,0,975,28.25
"2015-08-01 01:31:18",0,32,41,0,973,16.19
"2015-08-01 01:31:48",0,31,41,0,973,31.36
"2015-08-01 01:32:19",0,31,41,0,973,16.08
"2015-08-01 01:32:49",0,31,41,0,975,18.69
"2015-08-01 01:33:19",0,31,41,0,973,24.97
"2015-08-01 01:33:49",0,31,41,0,978,31.25
"2015-08-01 01:34:19",0,31,41,0,975,32.45
"2015-08-01 01:34:49",0,31,41,0,975,18.41
"2015-08-01 01:35:19",0,31,41,0,975,35.49
"2015-08-01 01:35:49",0,31,41,0,975,36.47
"2015-08-01 01:36:19",0,31,41,0,973,24.06
"2015-08-01 01:36:50",0,31,41,0,975,21.16
"2015-08-01 01:37:20",0,31,41,0,973,19.15
"2015-08-01 01:37:50",0,31,41,0,975,21.02
"2015-08-01 01:38:20",0,31,41,0,975,21.02
"2015-08-01 01:38:50",0,31,41,0,975,21.9
"2015-08-01 01:39:20",0,31,41,0,975,21.52
"2015-08-01 01:39:50",0,31,41,0,978,19.36
"2015-08-01 01:40:20",0,31,41,0,975,16.54
"2015-08-01 01:40:50",0,31,41,0,975,27.94
"2015-08-01 01:41:21",0,31,41,0,975,18.87
"2015-08-01 01:41:51",0,31,41,0,978,22.72
"2015-08-01 01:42:21",0,31,41,0,975,26.53
"2015-08-01 01:42:51",0,31,41,0,975,31.54
"2015-08-01 01:43:21",0,31,41,0,975,14.39
"2015-08-01 01:43:51",0,31,41,0,975,21.94
"2015-08-01 01:44:21",0,31,41,0,975,36.05
"2015-08-01 01:44:51",0,31,41,0,973,26.49
"2015-08-01 01:45:21",0,31,41,0,975,45.15
"2015-08-01 01:45:52",0,31,41,0,975,32.07
"2015-08-01 01:46:22",0,31,41,0,975,29.17
"2015-08-01 01:46:52",0,31,41,0,975,29.07
"2015-08-01 01:47:22",0,31,41,0,975,28.89
"2015-08-01 01:47:52",0,32,41,0,973,33.33
"2015-08-01 01:48:22",0,32,41,0,973,25.11
"2015-08-01 01:48:52",0,32,41,0,975,36.09
"2015-08-01 01:49:22",0,32,41,0,975,34.53
"2015-08-01 01:49:52",0,32,41,0,975,32.24
"2015-08-01 01:50:23",0,32,41,0,978,22.05
"2015-08-01 01:50:53",0,32,41,0,975,22.68
"2015-08-01 01:51:23",0,32,41,0,975,23.81
"2015-08-01 01:51:53",0,32,41,0,973,27.76
"2015-08-01 01:52:23",0,32,41,0,973,36.23
"2015-08-01 01:52:53",0,32,41,0,978,32.7
"2015-08-01 01:53:23",0,32,41,0,978,39.58
"2015-08-01 01:53:53",0,32,41,0,978,34.57
"2015-08-01 01:54:23",0,32,41,0,975,30.16
"2015-08-01 01:54:54",0,32,41,0,975,33.33
"2015-08-01 01:55:24",0,32,41,0,975,30.65
"2015-08-01 01:55:54",0,32,41,0,975,36.51
"2015-08-01 01:56:24",0,32,41,0,973,23.53
"2015-08-01 01:56:54",0,32,41,0,973,34.15
"2015-08-01 01:57:24",0,32,41,0,978,40.81
"2015-08-01 01:57:54",0,32,41,0,975,27.62
"2015-08-01 01:58:24",0,32,41,0,975,41.91
"2015-08-01 01:58:55",0,32,41,0,978,34.46
"2015-08-01 01:59:25",0,32,41,0,978,36.83
"2015-08-01 01:59:55",0,32,41,0,973,36.33
"2015-08-01 02:00:25",0,32,41,0,975,24.41
"2015-08-01 02:00:55",0,32,41,0,975,21.52
"2015-08-01 02:01:25",0,32,41,0,975,23.35
"2015-08-01 02:01:55",0,32,41,0,975,30.83
"2015-08-01 02:02:25",0,32,41,0,975,35.77
"2015-08-01 02:02:55",0,32,41,0,975,48.65
"2015-08-01 02:03:26",0,32,41,0,975,48.08
"2015-08-01 02:03:56",0,32,41,0,975,35.13
"2015-08-01 02:04:26",0,32,41,0,978,26.91
"2015-08-01 02:04:56",0,32,41,0,978,10.58
"2015-08-01 02:05:26",0,32,41,0,978,25.26
"2015-08-01 02:05:56",0,32,41,0,978,27.41
"2015-08-01 02:06:26",0,32,41,0,978,45.26
"2015-08-01 02:06:56",0,32,41,0,978,44.27
"2015-08-01 02:07:26",0,32,41,0,978,38.6
